Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,..,..,..,..,..,..,..,183.5327752,200.4623759,221.6576621,255.0551071,274.0006557,375.0782615,387.8492881,443.8451505,554.5947346,621.9124138,663.1410528,651.9878619,628.1468039,592.4761648,520.2519549,530.1498626,502.0570992,500.5229808,516.8667974
ALB,750.6044492,1009.977114,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787803,2972.743618,3595.038302,4370.539711,4114.134041,4094.349699,4437.141146,4247.631356,4413.063397,4578.633208,3952.803584,4124.05539,4531.032207,5287.660817,5396.214227,5343.037704
DZA,1466.544691,1619.532403,1634.46741,1610.302968,1602.864915,1780.376071,1754.582365,1794.811114,2117.048229,2624.795232,3131.328176,3500.13461,3971.803488,4946.564017,3898.478806,4495.921455,5473.281801,5610.733306,5519.777576,5516.229463,4197.419971,3967.20066,4134.936099,4171.795309,4021.983608,3354.157303
ASM,..,..,..,..,..,..,..,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634
AND,18731.65069,19081.53796,18253.08538,18592.24302,18884.17135,21620.46849,22809.08776,24784.96379,31954.15566,37630.76426,39583.93119,43084.29291,50562.86121,53721.41133,49750.69367,48237.89117,51428.19695,44902.38077,44747.75386,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222
AGO,399.7355584,523.3109091,514.3098866,423.3934528,387.6894148,556.8842437,527.4641185,872.657638,982.8055896,1254.696126,1900.723817,2597.963585,3121.348735,4081.717497,3123.698898,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1502.950754
ATG,8440.034526,9079.481212,9556.832802,10029.47775,10379.1604,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.3124,17514.35586,18187.77971,15284.77238
ARG,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.74048,13082.66433,13080.25473,12334.79825,13789.06042,12790.26406,14613.03571,11795.16289,9963.674231,8496.428157
ARM,441.8940018,484.091641,501.1565152,584.3842673,575.6284792,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163409,2109.526385,3064.279961,3908.949057,2917.366245,3143.029482,3462.681774,3643.715404,3833.157071,4017.229913,3666.141825,3679.952349,4041.995072,4391.923274,4828.504889,4505.867746
ABW,17140.43337,17375.22531,18713.42539,19742.31674,19833.82675,21023.15751,20913.2995,21377.09519,22050.83093,24104.64618,24975.67326,25833.44562,27665.42647,29011.55925,25739.13725,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30918.51522,31902.76258,24487.86357
AUS,20446.71985,22020.0798,23645.05749,21478.38516,20698.7127,21853.44999,19681.64503,20290.78042,23705.90722,30819.99349,34460.543,36570.76307,41023.75486,49681.21907,42810.46584,52132.46961,62598.68662,68047.37818,68156.3861,62515.31483,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572,51722.069
AUT,30325.84958,29809.07677,26705.4786,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688
AZE,314.5581973,409.1856231,505.5162042,561.9070354,573.8932966,655.0974326,703.6712504,763.1087646,883.6925807,1045.014165,1578.36733,2472.957257,3851.331012,5574.470962,4950.397437,5843.533768,7189.815151,7495.861942,7875.344611,7890.83525,5500.50462,3880.686267,4147.198619,4739.795242,4805.753718,4229.910649
BHS,11447.0179,11835.38679,20415.70617,21665.38786,23991.7008,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,27389.60197,28720.66219,29724.95334,29675.53589,30708.98702,31483.97884,32279.01136,23998.26802
BHR,9543.390109,9643.309528,9728.447229,9195.426527,9566.096024,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23433.18724
BGD,322.0873898,387.3848632,395.3180524,401.9651801,404.4861431,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5209416,776.8595769,856.3818868,876.8180068,973.7739002,1108.514957,1236.004398,1659.962489,1815.610191,1963.412707,2122.078386,2233.305893
BRB,8451.958599,8994.324063,9491.475434,10685.26061,11173.94937,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.63946,17219.04868,17550.66334,16310.46053,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658
BLR,1370.699283,1452.507105,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.383417,1819.525792,2378.339757,3126.071767,3848.216026,4735.484753,6376.183153,5352.489591,6034.678852,6527.654969,6953.217307,7998.077953,8341.288104,5967.069185,5039.776032,5785.534975,6360.05206,6837.767232,6542.86454
BEL,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.71166,45517.90382
BLZ,4021.006504,4057.853603,3997.84448,4063.901968,4189.350028,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616
BEN,358.8229871,380.5882867,355.1420716,372.8773468,541.702259,502.997981,508.3474475,564.3790581,698.4087771,784.1190746,805.9046858,837.1320026,944.6431712,1098.946678,1061.718359,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295
BMU,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864
BTN,550.6562335,564.486939,644.0878065,652.3610292,699.3313305,722.8267562,765.0092339,841.3663104,951.7391671,1050.133115,1201.433648,1299.631249,1714.031072,1780.112218,1768.745957,2194.12587,2491.273456,2470.072136,2409.439989,2589.899141,2695.636904,2879.546572,3240.706326,3210.707814,3303.962309,3009.925516
BOL,856.3651129,925.8491189,973.9625705,1025.409433,981.7529219,977.3294704,930.8757313,888.198576,892.3553805,951.9516229,1018.313662,1200.068092,1351.035154,1687.578567,1725.146286,1922.058662,2304.982295,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555
BIH,497.6828466,712.9536456,907.1488704,1000.417072,1128.398647,1332.210523,1382.767724,1602.56371,2031.402244,2451.577258,2741.080141,3170.174873,3936.932459,4846.792101,4542.310904,4506.933669,4980.906155,4688.345902,5025.240652,5196.969426,4654.609552,4917.263698,5327.393184,6024.491546,6094.723214,6095.102479
BWA,3064.586353,3063.994873,3100.165355,2893.328745,3242.13716,3351.696517,3115.679,3029.788522,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848491,4938.250136,6041.732051,7080.778297,6392.987347,6436.603063,6844.032996,5869.737772,6411.551666,6705.341062,6947.817841,6691.161051,5875.070606
BRA,4704.961546,5121.905407,5240.128796,5049.76612,3456.423595,3726.81142,3142.235528,2824.715396,3056.64968,3623.223905,4773.26848,5866.024313,7323.19034,8801.759475,8569.901805,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,6923.700197
VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BRN,15827.98736,16706.47133,16593.4344,12653.81192,14065.70228,17971.88881,16437.42662,16817.23573,18521.36258,21839.25931,25991.2062,30767.74738,32337.28152,37427.54886,27497.5417,34609.69996,46139.10684,46844.19672,43950.05706,41035.77314,30681.43744,26762.03743,28186.98339,31241.02397,30748.32019,27179.34442
