LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,INFRAINVEST,ROAD,EUR,A,1995,2489214911
AUS,INFRAINVEST,ROAD,EUR,A,1996,2807304915
AUS,INFRAINVEST,ROAD,EUR,A,1997,3118945005
AUS,INFRAINVEST,ROAD,EUR,A,1998,3222631948
AUS,INFRAINVEST,ROAD,EUR,A,1999,3971692035
AUS,INFRAINVEST,ROAD,EUR,A,2000,3985384644
AUS,INFRAINVEST,ROAD,EUR,A,2001,3232914774
AUS,INFRAINVEST,ROAD,EUR,A,2002,3174141910
AUS,INFRAINVEST,ROAD,EUR,A,2003,3809467524
AUS,INFRAINVEST,ROAD,EUR,A,2004,4673112063
AUS,INFRAINVEST,ROAD,EUR,A,2005,6047684590
AUS,INFRAINVEST,ROAD,EUR,A,2006,6696458225
AUS,INFRAINVEST,ROAD,EUR,A,2007,7813640359
AUS,INFRAINVEST,ROAD,EUR,A,2008,7904953310
AUS,INFRAINVEST,ROAD,EUR,A,2009,9829927604
AUS,INFRAINVEST,ROAD,EUR,A,2010,10819178342
AUS,INFRAINVEST,ROAD,EUR,A,2011,12985964191
AUS,INFRAINVEST,ROAD,EUR,A,2012,15649722083
AUS,INFRAINVEST,ROAD,EUR,A,2013,13990189647
AUS,INFRAINVEST,ROAD,EUR,A,2014,10988504646
AUS,INFRAINVEST,ROAD,EUR,A,2015,10310609857
AUS,INFRAINVEST,ROAD,EUR,A,2016,10841616558
AUS,INFRAINVEST,ROAD,EUR,A,2017,12673185564
AUS,INFRAINVEST,ROAD,EUR,A,2018,14363912675
AUS,INFRAINVEST,ROAD,EUR,A,2019,13317666734
AUS,INFRAINVEST,ROAD,EUR,A,2020,12671465384
AUS,INFRAINVEST,ROAD,EUR,A,2021,13286823655
AUT,INFRAINVEST,ROAD,EUR,A,1995,457000000
AUT,INFRAINVEST,ROAD,EUR,A,1996,426000000
AUT,INFRAINVEST,ROAD,EUR,A,1997,365000000
AUT,INFRAINVEST,ROAD,EUR,A,1998,430000000
AUT,INFRAINVEST,ROAD,EUR,A,1999,391000000
AUT,INFRAINVEST,ROAD,EUR,A,2000,475000000
AUT,INFRAINVEST,ROAD,EUR,A,2001,640000000
AUT,INFRAINVEST,ROAD,EUR,A,2002,532000000
AUT,INFRAINVEST,ROAD,EUR,A,2003,650000000
AUT,INFRAINVEST,ROAD,EUR,A,2004,720000000
AUT,INFRAINVEST,ROAD,EUR,A,2005,687000000
AUT,INFRAINVEST,ROAD,EUR,A,2006,802000000
AUT,INFRAINVEST,ROAD,EUR,A,2007,870000000
AUT,INFRAINVEST,ROAD,EUR,A,2008,875000000
AUT,INFRAINVEST,ROAD,EUR,A,2009,665000000
AUT,INFRAINVEST,ROAD,EUR,A,2010,390000000
AUT,INFRAINVEST,ROAD,EUR,A,2011,303000000
AUT,INFRAINVEST,ROAD,EUR,A,2012,327000000
AUT,INFRAINVEST,ROAD,EUR,A,2013,363000000
AUT,INFRAINVEST,ROAD,EUR,A,2014,453000000
AUT,INFRAINVEST,ROAD,EUR,A,2015,455000000
AUT,INFRAINVEST,ROAD,EUR,A,2016,444000000
AUT,INFRAINVEST,ROAD,EUR,A,2017,515000000
AUT,INFRAINVEST,ROAD,EUR,A,2018,463000000
AUT,INFRAINVEST,ROAD,EUR,A,2019,562000000
AUT,INFRAINVEST,ROAD,EUR,A,2020,548000000
AUT,INFRAINVEST,ROAD,EUR,A,2021,480000000
BEL,INFRAINVEST,ROAD,EUR,A,1995,160000000
BEL,INFRAINVEST,ROAD,EUR,A,1996,159000000
BEL,INFRAINVEST,ROAD,EUR,A,1997,153000000
BEL,INFRAINVEST,ROAD,EUR,A,1998,152000000
BEL,INFRAINVEST,ROAD,EUR,A,1999,161000000
BEL,INFRAINVEST,ROAD,EUR,A,2000,149000000
BEL,INFRAINVEST,ROAD,EUR,A,2001,147000000
BEL,INFRAINVEST,ROAD,EUR,A,2002,172000000
BEL,INFRAINVEST,ROAD,EUR,A,2003,185000000
BEL,INFRAINVEST,ROAD,EUR,A,2004,156000000
BEL,INFRAINVEST,ROAD,EUR,A,2005,156000000
BEL,INFRAINVEST,ROAD,EUR,A,2006,169000000
BEL,INFRAINVEST,ROAD,EUR,A,2007,166000000
BEL,INFRAINVEST,ROAD,EUR,A,2008,156000000
BEL,INFRAINVEST,ROAD,EUR,A,2009,175000000
BEL,INFRAINVEST,ROAD,EUR,A,2010,348000000
BEL,INFRAINVEST,ROAD,EUR,A,2011,248000000
BEL,INFRAINVEST,ROAD,EUR,A,2012,553000000
BEL,INFRAINVEST,ROAD,EUR,A,2013,587000000
BEL,INFRAINVEST,ROAD,EUR,A,2014,417000000
BEL,INFRAINVEST,ROAD,EUR,A,2015,778000000
BEL,INFRAINVEST,ROAD,EUR,A,2016,810000000
BEL,INFRAINVEST,ROAD,EUR,A,2017,655906000
BEL,INFRAINVEST,ROAD,EUR,A,2018,681000000
BEL,INFRAINVEST,ROAD,EUR,A,2019,735000000
BEL,INFRAINVEST,ROAD,EUR,A,2020,607000000
BEL,INFRAINVEST,ROAD,EUR,A,2021,1311000000
CAN,INFRAINVEST,ROAD,EUR,A,1995,3575646168
CAN,INFRAINVEST,ROAD,EUR,A,1996,3335258780
CAN,INFRAINVEST,ROAD,EUR,A,1997,3476681957
CAN,INFRAINVEST,ROAD,EUR,A,1998,3158939203
CAN,INFRAINVEST,ROAD,EUR,A,1999,3206155010
CAN,INFRAINVEST,ROAD,EUR,A,2000,3725933489
CAN,INFRAINVEST,ROAD,EUR,A,2001,4394605899
CAN,INFRAINVEST,ROAD,EUR,A,2002,3983679525
CAN,INFRAINVEST,ROAD,EUR,A,2003,3936788875
CAN,INFRAINVEST,ROAD,EUR,A,2004,4173160173
CAN,INFRAINVEST,ROAD,EUR,A,2005,5493144333
CAN,INFRAINVEST,ROAD,EUR,A,2006,6777840191
CAN,INFRAINVEST,ROAD,EUR,A,2007,7804479543
CAN,INFRAINVEST,ROAD,EUR,A,2008,8752004104
CAN,INFRAINVEST,ROAD,EUR,A,2009,10890108504
CAN,INFRAINVEST,ROAD,EUR,A,2010,15378704720
CAN,INFRAINVEST,ROAD,EUR,A,2011,15066152951
CAN,INFRAINVEST,ROAD,EUR,A,2012,14756382316
CAN,INFRAINVEST,ROAD,EUR,A,2013,13086085940
CAN,INFRAINVEST,ROAD,EUR,A,2014,5108668220
CAN,INFRAINVEST,ROAD,EUR,A,2015,7214836462
CAN,INFRAINVEST,ROAD,EUR,A,2016,7042672778
CAN,INFRAINVEST,ROAD,EUR,A,2017,7481340454
CAN,INFRAINVEST,ROAD,EUR,A,2018,6431185466
CAN,INFRAINVEST,ROAD,EUR,A,2019,7543245608
CZE,INFRAINVEST,ROAD,EUR,A,1995,282514209.3
CZE,INFRAINVEST,ROAD,EUR,A,1996,305765051
CZE,INFRAINVEST,ROAD,EUR,A,1997,382031169.5
CZE,INFRAINVEST,ROAD,EUR,A,1998,374639290.1
CZE,INFRAINVEST,ROAD,EUR,A,1999,322285881.6
CZE,INFRAINVEST,ROAD,EUR,A,2000,308618742.9
CZE,INFRAINVEST,ROAD,EUR,A,2001,302459964.6
CZE,INFRAINVEST,ROAD,EUR,A,2002,518284866.8
CZE,INFRAINVEST,ROAD,EUR,A,2003,625637901.3
CZE,INFRAINVEST,ROAD,EUR,A,2004,1031226395
CZE,INFRAINVEST,ROAD,EUR,A,2005,1414691140
CZE,INFRAINVEST,ROAD,EUR,A,2006,1491555568
CZE,INFRAINVEST,ROAD,EUR,A,2007,1493648724
CZE,INFRAINVEST,ROAD,EUR,A,2008,2041828599
CZE,INFRAINVEST,ROAD,EUR,A,2009,1985424195
CZE,INFRAINVEST,ROAD,EUR,A,2010,1719545029
CZE,INFRAINVEST,ROAD,EUR,A,2011,1293210027
CZE,INFRAINVEST,ROAD,EUR,A,2012,876329247.8
CZE,INFRAINVEST,ROAD,EUR,A,2013,647511082.4
CZE,INFRAINVEST,ROAD,EUR,A,2014,604013684
CZE,INFRAINVEST,ROAD,EUR,A,2015,885358255.5
CZE,INFRAINVEST,ROAD,EUR,A,2016,849231713.9
CZE,INFRAINVEST,ROAD,EUR,A,2017,984191254.7
CZE,INFRAINVEST,ROAD,EUR,A,2018,1044764479
CZE,INFRAINVEST,ROAD,EUR,A,2019,1383064925
CZE,INFRAINVEST,ROAD,EUR,A,2020,1640906428
CZE,INFRAINVEST,ROAD,EUR,A,2021,1817146779
DNK,INFRAINVEST,ROAD,EUR,A,1995,351844522.4
DNK,INFRAINVEST,ROAD,EUR,A,1996,403679447.8
DNK,INFRAINVEST,ROAD,EUR,A,1997,399577703.8
DNK,INFRAINVEST,ROAD,EUR,A,1998,387743673.2
DNK,INFRAINVEST,ROAD,EUR,A,1999,419468502.9
DNK,INFRAINVEST,ROAD,EUR,A,2000,454533258.2
DNK,INFRAINVEST,ROAD,EUR,A,2001,497034432.8
DNK,INFRAINVEST,ROAD,EUR,A,2002,399165601.2
DNK,INFRAINVEST,ROAD,EUR,A,2003,586620372.2
DNK,INFRAINVEST,ROAD,EUR,A,2004,727832363.3
DNK,INFRAINVEST,ROAD,EUR,A,2005,927707771.4
DNK,INFRAINVEST,ROAD,EUR,A,2006,1190760279
DNK,INFRAINVEST,ROAD,EUR,A,2007,1028882805
DNK,INFRAINVEST,ROAD,EUR,A,2008,935622317.6
DNK,INFRAINVEST,ROAD,EUR,A,2009,713777312.2
DNK,INFRAINVEST,ROAD,EUR,A,2010,936593619.1
DNK,INFRAINVEST,ROAD,EUR,A,2011,1051981693
DNK,INFRAINVEST,ROAD,EUR,A,2012,1323651898
DNK,INFRAINVEST,ROAD,EUR,A,2013,1046943510
DNK,INFRAINVEST,ROAD,EUR,A,2014,1101557365
DNK,INFRAINVEST,ROAD,EUR,A,2015,1086396911
DNK,INFRAINVEST,ROAD,EUR,A,2016,1099470814
DNK,INFRAINVEST,ROAD,EUR,A,2017,1065643190
DNK,INFRAINVEST,ROAD,EUR,A,2018,1083963935
FIN,INFRAINVEST,ROAD,EUR,A,1995,457000000
FIN,INFRAINVEST,ROAD,EUR,A,1996,429000000
FIN,INFRAINVEST,ROAD,EUR,A,1997,436000000
FIN,INFRAINVEST,ROAD,EUR,A,1998,443000000
FIN,INFRAINVEST,ROAD,EUR,A,1999,458000000
FIN,INFRAINVEST,ROAD,EUR,A,2000,488000000
FIN,INFRAINVEST,ROAD,EUR,A,2001,508000000
FIN,INFRAINVEST,ROAD,EUR,A,2002,520000000
FIN,INFRAINVEST,ROAD,EUR,A,2003,533000000
FIN,INFRAINVEST,ROAD,EUR,A,2004,599000000
FIN,INFRAINVEST,ROAD,EUR,A,2005,595000000
FIN,INFRAINVEST,ROAD,EUR,A,2006,650000000
FIN,INFRAINVEST,ROAD,EUR,A,2007,802000000
FIN,INFRAINVEST,ROAD,EUR,A,2008,973000000
FIN,INFRAINVEST,ROAD,EUR,A,2009,922000000
FIN,INFRAINVEST,ROAD,EUR,A,2010,890000000
FIN,INFRAINVEST,ROAD,EUR,A,2011,973000000
FIN,INFRAINVEST,ROAD,EUR,A,2012,1128000000
FIN,INFRAINVEST,ROAD,EUR,A,2013,1148000000
FIN,INFRAINVEST,ROAD,EUR,A,2014,1238000000
