LOCATION,INDICATOR,TIME,Value
AUS,INFRAINVEST,1995,555481399.4
AUS,INFRAINVEST,1996,650326801.4
AUS,INFRAINVEST,1997,863134036.2
AUS,INFRAINVEST,1998,638475356.2
AUS,INFRAINVEST,1999,618946377.9
AUS,INFRAINVEST,2000,484898031.6
AUS,INFRAINVEST,2001,351215942.7
AUS,INFRAINVEST,2002,499921309.2
AUS,INFRAINVEST,2003,738864092.4
AUS,INFRAINVEST,2004,892547337.2
AUS,INFRAINVEST,2005,1372033078
AUS,INFRAINVEST,2006,1338171207
AUS,INFRAINVEST,2007,1639092468
AUS,INFRAINVEST,2008,1738814088
AUS,INFRAINVEST,2009,1902977693
AUS,INFRAINVEST,2010,3229693518
AUS,INFRAINVEST,2011,4564889188
AUS,INFRAINVEST,2012,6152460165
AUS,INFRAINVEST,2013,5538285101
AUS,INFRAINVEST,2014,4551795334
AUS,INFRAINVEST,2015,3549392933
AUS,INFRAINVEST,2016,2540968201
AUS,INFRAINVEST,2017,3052481607
AUS,INFRAINVEST,2018,4628354860
AUS,INFRAINVEST,2019,4935197899
AUS,INFRAINVEST,2020,5192724743
AUS,INFRAINVEST,2021,6750072092
AUT,INFRAINVEST,1995,521000000
AUT,INFRAINVEST,1996,590000000
AUT,INFRAINVEST,1997,710000000
AUT,INFRAINVEST,1998,979000000
AUT,INFRAINVEST,1999,1120000000
AUT,INFRAINVEST,2000,1199000000
AUT,INFRAINVEST,2001,1071000000
AUT,INFRAINVEST,2002,1191000000
AUT,INFRAINVEST,2003,1145000000
AUT,INFRAINVEST,2004,1335000000
AUT,INFRAINVEST,2005,1330000000
AUT,INFRAINVEST,2006,1489000000
AUT,INFRAINVEST,2007,1505000000
AUT,INFRAINVEST,2008,1683000000
AUT,INFRAINVEST,2009,2062000000
AUT,INFRAINVEST,2010,1936000000
AUT,INFRAINVEST,2011,2143000000
AUT,INFRAINVEST,2012,1688000000
AUT,INFRAINVEST,2013,1648000000
AUT,INFRAINVEST,2014,1567000000
AUT,INFRAINVEST,2015,1549000000
AUT,INFRAINVEST,2016,1523000000
AUT,INFRAINVEST,2017,1552000000
AUT,INFRAINVEST,2018,1682000000
AUT,INFRAINVEST,2019,1737000000
AUT,INFRAINVEST,2020,2002000000
AUT,INFRAINVEST,2021,2249500000
BEL,INFRAINVEST,1995,668000000
BEL,INFRAINVEST,1996,537000000
BEL,INFRAINVEST,1997,635000000
BEL,INFRAINVEST,1998,637000000
BEL,INFRAINVEST,1999,764000000
BEL,INFRAINVEST,2000,1012000000
BEL,INFRAINVEST,2001,856000000
BEL,INFRAINVEST,2002,1049000000
BEL,INFRAINVEST,2003,959000000
BEL,INFRAINVEST,2004,976000000
BEL,INFRAINVEST,2005,948527538.2
BEL,INFRAINVEST,2006,928448430.7
BEL,INFRAINVEST,2007,820740802.3
BEL,INFRAINVEST,2008,982865787.5
BEL,INFRAINVEST,2009,1404314281
BEL,INFRAINVEST,2010,1376467073
BEL,INFRAINVEST,2011,1295066303
BEL,INFRAINVEST,2012,1333431630
BEL,INFRAINVEST,2013,1200786096
BEL,INFRAINVEST,2014,1107978558
BEL,INFRAINVEST,2015,1005993900
BEL,INFRAINVEST,2016,959083668.6
BEL,INFRAINVEST,2017,880000000
BEL,INFRAINVEST,2018,926000000
BEL,INFRAINVEST,2019,899000000
BEL,INFRAINVEST,2020,1008252225
BEL,INFRAINVEST,2021,1137261091
CAN,INFRAINVEST,1995,290775401.1
CAN,INFRAINVEST,1996,276686691.3
CAN,INFRAINVEST,1997,410932721.7
CAN,INFRAINVEST,1998,480485898.1
CAN,INFRAINVEST,1999,510815412.8
CAN,INFRAINVEST,2000,608226371.1
CAN,INFRAINVEST,2001,473786687.8
CAN,INFRAINVEST,2002,452522255.2
CAN,INFRAINVEST,2003,489886220
CAN,INFRAINVEST,2004,356215213.4
CAN,INFRAINVEST,2005,580910114.6
CAN,INFRAINVEST,2006,598230585.6
CAN,INFRAINVEST,2007,645380897.3
CAN,INFRAINVEST,2008,616943500.3
CAN,INFRAINVEST,2009,493313146.6
CAN,INFRAINVEST,2010,697402122.2
CAN,INFRAINVEST,2011,869438790.3
CAN,INFRAINVEST,2012,1044520548
CAN,INFRAINVEST,2013,1011400175
CAN,INFRAINVEST,2014,962574135.9
CAN,INFRAINVEST,2015,1065180587
CAN,INFRAINVEST,2016,796508456.1
CAN,INFRAINVEST,2017,918464900.3
CAN,INFRAINVEST,2018,1081557966
CAN,INFRAINVEST,2019,1366359292
CZE,INFRAINVEST,1995,112319717.8
CZE,INFRAINVEST,1996,159803372.5
CZE,INFRAINVEST,1997,280063374.8
CZE,INFRAINVEST,1998,302455737.7
CZE,INFRAINVEST,1999,268707141.8
CZE,INFRAINVEST,2000,370746942.7
CZE,INFRAINVEST,2001,393952562.4
CZE,INFRAINVEST,2002,473793692.1
CZE,INFRAINVEST,2003,415919504.3
CZE,INFRAINVEST,2004,411744609.9
CZE,INFRAINVEST,2005,484400022.8
CZE,INFRAINVEST,2006,465026007.3
CZE,INFRAINVEST,2007,612539718
CZE,INFRAINVEST,2008,1217156136
CZE,INFRAINVEST,2009,740621739.7
CZE,INFRAINVEST,2010,563179264.6
CZE,INFRAINVEST,2011,446822182.1
CZE,INFRAINVEST,2012,381534888.5
CZE,INFRAINVEST,2013,334664758
CZE,INFRAINVEST,2014,454245019.2
CZE,INFRAINVEST,2015,1164925783
CZE,INFRAINVEST,2016,681496031
CZE,INFRAINVEST,2017,565612750.3
CZE,INFRAINVEST,2018,741057048.5
CZE,INFRAINVEST,2019,762841938.8
CZE,INFRAINVEST,2020,1123320293
CZE,INFRAINVEST,2021,1448913705
DNK,INFRAINVEST,1995,726071706.4
DNK,INFRAINVEST,1996,1033587869
DNK,INFRAINVEST,1997,872255409
DNK,INFRAINVEST,1998,818021813.9
DNK,INFRAINVEST,1999,634649523.9
DNK,INFRAINVEST,2000,563873460.5
DNK,INFRAINVEST,2001,459730012.6
DNK,INFRAINVEST,2002,478433483.6
DNK,INFRAINVEST,2003,337922403
DNK,INFRAINVEST,2004,341536848.6
DNK,INFRAINVEST,2005,240884630.4
DNK,INFRAINVEST,2006,178171629.3
DNK,INFRAINVEST,2007,232055618.2
DNK,INFRAINVEST,2008,372988197.4
DNK,INFRAINVEST,2009,356687213.8
DNK,INFRAINVEST,2010,396390589.8
DNK,INFRAINVEST,2011,862871944.9
DNK,INFRAINVEST,2012,915795695.7
DNK,INFRAINVEST,2013,996124914.5
DNK,INFRAINVEST,2014,1159371688
DNK,INFRAINVEST,2015,1308422492
DNK,INFRAINVEST,2016,1185026997
DNK,INFRAINVEST,2017,1228171589
DNK,INFRAINVEST,2018,1351365856
FIN,INFRAINVEST,1995,226000000
FIN,INFRAINVEST,1996,192000000
FIN,INFRAINVEST,1997,224000000
FIN,INFRAINVEST,1998,254000000
FIN,INFRAINVEST,1999,264000000
FIN,INFRAINVEST,2000,233000000
FIN,INFRAINVEST,2001,204000000
FIN,INFRAINVEST,2002,225000000
FIN,INFRAINVEST,2003,275000000
FIN,INFRAINVEST,2004,328000000
FIN,INFRAINVEST,2005,281000000
FIN,INFRAINVEST,2006,234000000
FIN,INFRAINVEST,2007,211000000
FIN,INFRAINVEST,2008,327000000
FIN,INFRAINVEST,2009,361000000
FIN,INFRAINVEST,2010,388000000
FIN,INFRAINVEST,2011,355000000
FIN,INFRAINVEST,2012,450000000
FIN,INFRAINVEST,2013,605000000
FIN,INFRAINVEST,2014,643000000
FIN,INFRAINVEST,2015,567000000
FIN,INFRAINVEST,2016,537000000
FIN,INFRAINVEST,2017,521000000
FIN,INFRAINVEST,2018,491000000
FIN,INFRAINVEST,2019,462000000
FIN,INFRAINVEST,2020,684000000
FIN,INFRAINVEST,2021,606000000
FRA,INFRAINVEST,1995,2765572479
FRA,INFRAINVEST,1996,2963000000
FRA,INFRAINVEST,1997,3024000000
FRA,INFRAINVEST,1998,2879000000
FRA,INFRAINVEST,1999,2891000000
FRA,INFRAINVEST,2000,2954750000
FRA,INFRAINVEST,2001,2443638000
FRA,INFRAINVEST,2002,3044642000
FRA,INFRAINVEST,2003,3633564000
FRA,INFRAINVEST,2004,3680498000
FRA,INFRAINVEST,2005,4171382500
FRA,INFRAINVEST,2006,4303020000
FRA,INFRAINVEST,2007,4616418000
FRA,INFRAINVEST,2008,4696513302
FRA,INFRAINVEST,2009,4968770094
FRA,INFRAINVEST,2010,5103166000
FRA,INFRAINVEST,2011,7060006000
FRA,INFRAINVEST,2012,8043087000
FRA,INFRAINVEST,2013,10467884000
FRA,INFRAINVEST,2014,9125321000
FRA,INFRAINVEST,2015,8797194000
FRA,INFRAINVEST,2016,8614650000
FRA,INFRAINVEST,2017,9334770000
FRA,INFRAINVEST,2018,10284883399
FRA,INFRAINVEST,2019,11528382879
FRA,INFRAINVEST,2020,10789379413
FRA,INFRAINVEST,2021,11557639689
DEU,INFRAINVEST,1995,5747000000
DEU,INFRAINVEST,1996,5200000000
DEU,INFRAINVEST,1997,4745000000
DEU,INFRAINVEST,1998,4423000000
DEU,INFRAINVEST,1999,7350000000
DEU,INFRAINVEST,2000,5305000000
DEU,INFRAINVEST,2001,5481000000
DEU,INFRAINVEST,2002,7437000000
DEU,INFRAINVEST,2003,7228000000
DEU,INFRAINVEST,2004,6404000000
