Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Rail lines (total route-km),IS.RRS.TOTL.KM,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Albania,ALB,440,440,447,447,447,447,423,423,..,..,..,..,..,..,..,..,..,..,..,..,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Algeria,DZA,3973,3973,3572,3572,3572,3572,3572,3572,3664,4226,4175,..,3799.94,3799.94,3843.17,4016.25,4016.25,4020.25,..,4000.5,..
Rail lines (total route-km),IS.RRS.TOTL.KM,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Argentina,ARG,..,..,..,..,..,..,3150,13488,..,..,..,18097,18097,..,17609,17609,17866,17866,..,..,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Armenia,ARM,843,843,843,711,711,711,..,845,826.07201,..,..,..,703.2,703.2,679.363,685.66,698.4,698.4,698.4,698.4,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
