Country,Code,Capital,Capital Train Station,Second Train Station (~50 miles),Distance (miles),"Ticket Price (Cheapest Standard Single, £)",Price Per Mile (£)
United Kingdom,GBR,London,London Paddington,Oxford,49.37,£27.30,£0.55
Norway,NOR,Oslo,Oslo Central Station,Kongsvinger,47.22,£21.86,£0.46
Austria,AUT,Vienna,Wien Hauptbahnhof,Melk,48.22,£16.40,£0.34
Netherlands,NLD,Amsterdam,Amsterdam Centraal,Apeldoorn,46.64,£14.00,£0.30
France,FRA,Paris,Paris Montpernasse,Chartes,46.95,£13.82,£0.29
Switzerland,CHE,Bern,Bern,Lausanne,48.6,£13.41,£0.28
Ireland,IRL,Dublin,Heuston,Portlaoise,48.85,£13.36,£0.27
Belgium,BEL,Brussels,Bruxelles Central,Beernem,48.78,£11.94,£0.24
Denmark,DNK,Copenhagen,Kobenhavn H,Slagelse St.,50.95,£11.58,£0.23
Spain,ESP,Madrid,Atocha Cercanias,El Romeral,51.09,£10.82,£0.21
Finland,FIN,Helsinki,Helsingin päärautatieasema,Lappila,47.43,£9.89,£0.21
Sweden,SWE,Stockholm,Stockholms Centralstation,Vattholma,49.35,£10.16,£0.21
Greece,GRC,Athens,Athens (SKA),Kiato,53.69,£10.69,£0.20
Germany,DEU,Berlin,Berlin Hauptbahnhof,Furstenburg,46.72,£8.91,£0.19
Italy,ITA,Rome,Roma Termini,Terni,46.88,£6.46,£0.14
Croatia,HRV,Zagreb,Zagreb Glavni Kolodvor,Banova Jaruga,49.99,£6.85,£0.14
Portugal,PRT,Lisbon,Rossio,Vale de Figueira,50.57,£6.64,£0.13
Slovenia,SVN,Ljubljana,Ljubijana,Brestanica,49.79,£6.38,£0.13
Bosnia & Herzegovina,BIH,Sarajevo,Sarajevo,zenica,34.1,£3.93,£0.12
Romania,ROU,Bucharest,Bucharest North Railway Station,Campina,50.54,£5.73,£0.11
Montenegro,MNE,Podgorica,Aerodom Podgorica,Mojkovac,44.41,£4.27,£0.10
Hungary,HUN,Budapest,Keleti Pálaudvar,Újszász,48.37,£4.63,£0.10
Poland,POL,Warsaw,Warsawa Centralna,Malkinia,54.01,£4.98,£0.09
Czech Republic,CZE,Prague,Prague Main Railway Station,Tabor,47.48,£4.10,£0.09
Estonia,EST,Tallinn,Tallinn,Turi,50.17,£4.32,£0.09
Slovakia,SVK,Bratislava,Bratislava Hlavna Stanica,Nove Zamky,50.44,£4.27,£0.08
Lithuania,LTU,Vilnius,Vilnius,Zeryvnos,50.26,£3.74,£0.07
Macedonia,MDK,Skopje,Railway Station Skopje,Prilep,49.72,£3.61,£0.07
Russia,RUS,Moscow,Moscow Kurskaya,Serpuhov,57.5,£3.86,£0.07
Bulgaria,BGR,Sofia,Sofia Central Station,Septemvri,54.21,£3.18,£0.06
Latvia,LVA,Riga,Riga Central Station,Krustpils,72.24,£3.92,£0.05
Serbia,SRB,Belgrade,Belgrade Center-Prokop,Morkovac,49.75,£2.41,£0.05
Luxembourg,LUX,Luxembourg City,Luxembourg,Gouvy-Frontiere,40.18,£1.78,£0.04
Turkey,TUR,Ankara,Ankara Tren Gari,Eskisehir,124.3,£4.55,£0.04
Kazakhstan,KAZ,Astana,Astana Vokzaly,Ak-Kul,59.34,£1.49,£0.03
Azerbaijan,AZE,Baku,Bilacari,Hajigabul Stansiyasi,53.05,£1.18,£0.02
Albania,ALB,Tirana,Kashar,Shkoder,50.04,£1.05,£0.02
Ukraine,UKR,Kiev,Kyiv Passenger Railway Station,Chernyavka,50.42,£0.97,£0.02
Belarus,BLR,Minsk,Minsk-Passajirskii,Prudy,48.74,£0.71,£0.01
Armenia,ARM,Yerevan,Yerevan,Gyumri,55.71,£0.11,£0.00
Japan,JPN,Tokyo,Tokio Station 1,Naruto,47.84,£7.36,£0.15
Australia,AUS,Canberra,Canberra Kingston Station,Goulburn,52.82,£6.08,£0.12
