Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AUS,4180728457.8947372,4195141730.526316,3403068183.157895,3341202010.526316,4009965814.736842,4919065329.473684,6365983778.947369,7048903394.736842,8224884588.421053,8321003484.210526,10347292214.736843,11388608781.052631,13669435990.526316,16473391666.31579,14726515417.894737,11566846995.789474,10853273533.684212,11412227955.789474,13340195330.526316,15119908078.947369,14018596562.105265
AZE,1198760.4821052633,31847742.315789476,50485927.05263159,49252620.12631579,36013324.92631579,50830956.91578948,86684152.44210526,274093473.3684211,393908738.5263158,1398400460.0,1338584897.894737,1627036885.263158,1643599444.2105265,1557030527.368421,2014344883.1578948,1485580976.8421054,919162829.0526316,524376966.7368421,586391066.5263158,731591000.8421053,888761071.4736842
CZE,339248296.4210527,324861834.6315789,318378910.1052632,545563017.6842105,658566211.8947368,1085501468.4210527,1489148568.4210527,1570058492.631579,1572261814.7368422,2149293262.105263,2089920205.263158,1810047398.9473686,1361273712.631579,922451839.7894737,681590613.0526316,635803877.8947369,931956058.4210527,893928119.8947369,1035990794.4210527,1099752083.1578948,1455857815.7894738
FIN,482105263.15789473,513684210.5263158,534736842.1052632,547368421.0526316,561052631.5789474,630526315.7894738,626315789.4736842,684210526.3157895,844210526.3157895,1024210526.3157896,970526315.7894738,936842105.263158,1024210526.3157896,1187368421.0526316,1208421052.631579,1303157894.7368422,1308421052.631579,1240000000.0,1300000000.0,1606315789.4736843,1602105263.1578948
FRA,10816095843.157896,11516173062.105263,11495172589.473684,10889660788.421053,11569397898.947369,12133014233.684212,13054798161.052631,13595076607.368422,14613904808.421053,14775072769.473684,15029222094.736843,15260098897.894737,13267675025.263159,13867054243.157896,13543324791.578947,11376003183.157896,10538132970.526316,9701052631.578947,9557894736.842106,10403821052.63158,10961052631.578947
DEU,11732631578.947369,12596842105.263159,12166315789.473684,12205263157.894737,11357894736.842106,11273684210.526316,10736842105.263159,11294736842.105263,11415789473.684212,12010526315.789474,13284210526.31579,12894736842.105265,12936842105.263159,11705263157.894737,11989473684.210527,12431578947.368422,12031578947.368422,12726315789.473684,14231578947.368422,16642105263.157896,17631578947.368423
HUN,219491307.0526316,185888848.63157895,249391912.42105266,298599462.31578946,255458252.84210527,1501747278.9473684,1792798188.4210527,614412523.263158,679912665.263158,1029351271.7894738,1647609783.1578948,884380151.263158,313709159.2631579,160686614.9473684,421654133.68421054,1303594709.4736843,1313344268.4210527,844994879.7894737,1347770723.1578948,1874014670.526316,2409039009.4736843
ITA,6700000000.0,7294736842.105264,4823157894.736842,5337894736.842106,7235789473.684211,7970526315.7894745,9651578947.368422,15031578947.368422,14383157894.736843,13737894736.842106,5937894736.842106,3567368421.052632,4346315789.473684,3270526315.789474,2990526315.789474,4063157894.736842,5422105263.157895,3952631578.9473686,3588421052.631579,6900000000.0,4536842105.263158
JPN,73467898601.05263,83486357825.26317,71125687598.94737,63068397070.52632,52487937865.26316,45549733525.26316,42167408333.68421,38528428144.210526,33222606722.105267,33547736443.157898,39165262037.89474,37648693121.052635,37697386367.36842,39263970627.36842,34872865261.052635,31199770241.05263,29624652310.526318,34290476903.157898,33239898050.526318,31607640180.0,34557794288.42105
NOR,1054214103.1578947,956536799.6842107,1072523149.4736843,1225157138.9473684,1130070629.4736843,1198369734.7368422,1538177583.1578948,1552462491.5789475,1825823428.4210527,2249294815.789474,2619278468.421053,2814731056.8421054,2959627264.2105265,3474789575.789474,4046611897.8947372,4004235673.684211,3746491158.9473686,3561369337.8947372,3913375617.8947372,4274732829.4736843,4264837347.368421
