Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUS,484898031.6,351215942.7,499921309.2,738864092.4,892547337.2,1372033078.0,1338171207.0,1639092468.0,1738814088.0,1902977693.0,3229693518.0,4564889188.0,6152460165.0,5538285101.0,4551795334.0,3549392933.0,2540968201.0,3052481607.0,4628354860.0,4935197899.0,5192724743.0
AZE,4840856.832,8393285.372,25027203.48,4501665.616,7366181.044,19526275.58,11592652.04,3401939.105,10753577.63,2679049.83,2817165.931,2729754.322,2960331.557,3838771.593,3837666.699,1762269.804,1133465.571,1029707.048,3485014.438,525403.247,515410.7824
CZE,370746942.7,393952562.4,473793692.1,415919504.3,411744609.9,484400022.8,465026007.3,612539718.0,1217156136.0,740621739.7,563179264.6,446822182.1,381534888.5,334664758.0,454245019.2,1164925783.0,681496031.0,565612750.3,741057048.5,762841938.8,1123320293.0
FIN,233000000.0,204000000.0,225000000.0,275000000.0,328000000.0,281000000.0,234000000.0,211000000.0,327000000.0,361000000.0,388000000.0,355000000.0,450000000.0,605000000.0,643000000.0,567000000.0,537000000.0,521000000.0,491000000.0,462000000.0,684000000.0
FRA,2954750000.0,2443638000.0,3044642000.0,3633564000.0,3680498000.0,4171382500.0,4303020000.0,4616418000.0,4696513302.0,4968770094.0,5103166000.0,7060006000.0,8043087000.0,10467884000.0,9125321000.0,8797194000.0,8614650000.0,9334770000.0,10284883399.0,11528382879.0,10789379413.0
DEU,5305000000.0,5481000000.0,7437000000.0,7228000000.0,6404000000.0,3411000000.0,3971000000.0,3836000000.0,3816000000.0,3412000000.0,3807000000.0,4086000000.0,5915000000.0,5773301077.0,6848115139.0,6857149428.0,6413000000.0,7056000000.0,7590000000.0,8577000000.0,9615000000.0
HUN,196793653.1,227570120.0,277905522.8,279364646.1,154510341.3,170675845.7,91408668.0,376435451.9,298159789.5,317614835.7,271989023.7,348777344.2,472418138.5,623201661.7,626656305.2,701286715.8,323165093.4,556053318.7,803129312.3,879842868.5,717621881.8
ITA,4549000000.0,4856000000.0,5525000000.0,7403000000.0,8809000000.0,10175000000.0,8970000000.0,7702000000.0,7109000000.0,5687000000.0,4773000000.0,4466000000.0,4238000000.0,4103000000.0,4742000000.0,2861000000.0,3874000000.0,3296000000.0,2855000000.0,4246000000.0,9768000000.0
MKD,9748867.847,8372706.945,8626047.712,2676943.518,81518.85939,1354034.288,882498.5823,588384.313,5468030.791,3231191.771,2243406.336,455072.1858,601314.1151,2614311.161,3342820.886,6070689.445,7971322.72,5642865.379,6270201.376,12639258.09,4929103.6
NOR,362719844.2,199157648.9,189478169.4,200262516.4,221932894.6,193188483.6,258255347.2,310040781.7,287544985.9,358583081.3,479265550.8,561123015.9,675807638.3,838682400.0,1218297806.0,1281411812.0,1460608865.0,1249062024.0,1316688540.0,1537001127.0,1476857377.0
RUS,2603664235.0,3271690110.0,2046399509.0,3231072457.0,3646100451.0,4016900072.0,4168733386.0,5434079847.0,9488821437.0,6574392816.0,9052977995.0,9869977720.0,11193950762.0,9786916953.0,6474551311.0,5022319785.0,4830404644.0,3608852029.0,4355181801.0,6677866237.0,5305295682.0
ESP,1840000000.0,2456000000.0,3652000000.0,3791000000.0,4368000000.0,5764000000.0,6336000000.0,8345000000.0,8981000000.0,8772000000.0,7669000000.0,7553000000.0,5350000000.0,2710000000.0,3042000000.0,2613000000.0,1657000000.0,2215000000.0,2168000000.0,2218000000.0,2380557000.0
SWE,589990409.5,556846051.6,666120755.5,652316864.7,1093632877.0,1301085118.0,1250526839.0,1445790685.0,1536170699.0,1527973180.0,1655636908.0,1588351278.0,1570135643.0,1389931218.0,1480713210.0,1630006949.0,1501653058.0,1524982100.0,1424327513.0,1691537495.0,2080691450.0
CHE,1463054503.0,1643935381.0,2011995638.0,2004340107.0,2115795609.0,2191435768.0,2350772360.0,2329092348.0,2622393044.0,2888270746.0,3032122703.0,3410048622.0,3463867917.0,3665610529.0,3550139964.0,4193518172.0,3835993396.0,3120726880.0,3078188588.0,3434888110.0,3797066243.0
TUR,72784261.55,58366606.17,72262916.03,124307773.9,302332038.1,260656851.6,469121748.8,554128512.3,785599307.9,802119964.9,1704488059.0,1698994433.0,1804048823.0,2435514628.0,1538468868.0,1228881461.0,1887199868.0,1968574999.0,1999028007.0,1973315978.0,2240818788.0
