LOCATION,INDICATOR,TIME,Value
AUS,PASSTRANSP,1995,238963.4953
AUS,PASSTRANSP,1996,242627.1363
AUS,PASSTRANSP,1997,244104.3538
AUS,PASSTRANSP,1998,246481.4206
AUS,PASSTRANSP,1999,251919.0681
AUS,PASSTRANSP,2000,256806.0842
AUS,PASSTRANSP,2001,254426.9018
AUS,PASSTRANSP,2002,260519.1863
AUS,PASSTRANSP,2003,267143.3819
AUS,PASSTRANSP,2004,279135.625
AUS,PASSTRANSP,2005,279904.6174
AUS,PASSTRANSP,2006,275480.5284
AUS,PASSTRANSP,2007,278956.6124
AUS,PASSTRANSP,2008,280755.5115
AUS,PASSTRANSP,2009,279946.6832
AUS,PASSTRANSP,2010,281770.0865
AUS,PASSTRANSP,2011,284788.7982
AUS,PASSTRANSP,2012,287595.2007
AUS,PASSTRANSP,2013,293369.3022
AUS,PASSTRANSP,2014,297943.899
AUS,PASSTRANSP,2015,301444.6386
AUS,PASSTRANSP,2016,303530.0108
AUS,PASSTRANSP,2017,305705.1561
AUS,PASSTRANSP,2018,308067.1705
AUS,PASSTRANSP,2019,306963.4189
AUS,PASSTRANSP,2020,282439.4253
AUS,PASSTRANSP,2021,282449.0613
BEL,PASSTRANSP,1995,104228
BEL,PASSTRANSP,1996,104096
BEL,PASSTRANSP,1997,107343
BEL,PASSTRANSP,1998,112960
BEL,PASSTRANSP,1999,116460
BEL,PASSTRANSP,2000,119400
BEL,PASSTRANSP,2001,121470
BEL,PASSTRANSP,2002,123960
BEL,PASSTRANSP,2003,124730
BEL,PASSTRANSP,2004,126800
BEL,PASSTRANSP,2005,126960
BEL,PASSTRANSP,2006,127990
BEL,PASSTRANSP,2007,130810
BEL,PASSTRANSP,2008,130620
BEL,PASSTRANSP,2009,131060
BEL,PASSTRANSP,2010,126773
BEL,PASSTRANSP,2011,127640
BEL,PASSTRANSP,2012,128046
BEL,PASSTRANSP,2013,121530
BEL,PASSTRANSP,2014,123980
BEL,PASSTRANSP,2015,122240
BEL,PASSTRANSP,2016,119500
CAN,PASSTRANSP,1995,497000
CAN,PASSTRANSP,1996,498000
CAN,PASSTRANSP,1997,499000
CAN,PASSTRANSP,1998,500000
CAN,PASSTRANSP,1999,501000
CAN,PASSTRANSP,2000,502000
