DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2006,106
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2007,104
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2008,97
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2009,88
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2010,79
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2011,84
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2012,87
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2013,73
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2014,61
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2015,77
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2016,87
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2017,60
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2018,42
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2019,47
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2020,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,AT,2021,34
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2006,187
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2007,217
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2008,220
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2009,146
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2010,40
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2011,51
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2012,36
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2013,32
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2014,47
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2015,21
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2016,22
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2017,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2018,31
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2019,27
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2020,30
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BE,2021,24
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2006,84
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2007,56
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2008,65
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2009,48
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2010,39
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2011,74
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2012,48
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2013,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2014,58
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2015,48
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2016,40
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2017,47
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2018,42
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2019,39
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2020,33
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,BG,2021,37
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,CHE,2009,58
